doc_id,volume,state_variation,version_date,source_file,path,anchor_id,parent_anchor_id,order_in_parent,para_start,para_end,unit_label,unit_type,compliance_weight,title,text,text_html,defined_term,contains_shall,contains_must,external_refs,internal_refs,satisfies_pr_ids,related_unit_ids,asset_type,asset_id,asset_caption,asset_alt_text,page_start,page_end,bbox_json,extract_confidence,warnings,ncc_pathway,normative_status,conditionality,heading_context,raw_title,raw_text,applies_state,variation_action,affected_unit_label,affected_subparts,affects_anchor_id,table_grid_json,table_key_values,base_unit_label,affected_subclause,conditions_text,exceptions_text,requirements_list,standards_referenced,notes_quality,discipline,table_purpose,table_id,table_label,applies_to_volume,applies_to_class,volume_hierarchy,dataset_coverage,scope_conditions,formula_json,constant_value,constant_name,pathway_alternative_to,verification_method_for,section_code,part_code,indexable
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B7,"",13,58,60,B7,OTHER,"",Part B7                            Rainwater storage 	112,Part B7                            Rainwater storage 	112  Specification 41            Cross-connection hazards 	115  Section C         Sanitary plumbing and drainage systems,Part B7                            Rainwater storage 	112  Specification 41            Cross-connection hazards 	115  Section C         Sanitary plumbing and drainage systems,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part B7                            Rainwater storage 	112,Part B7                            Rainwater storage 	112  Specification 41            Cross-connection hazards 	115  Section C         Sanitary plumbing and drainage systems,"","","","","","","",B7,"","","","","","","","","","",V3,"","","","","","","","","",B,B7,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::C1,"",14,61,61,C1,OTHER,"",Part C1                           Sanitary plumbing systems	122,Part C1                           Sanitary plumbing systems	122,Part C1                           Sanitary plumbing systems	122,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part C1                           Sanitary plumbing systems	122,Part C1                           Sanitary plumbing systems	122,"","","","","","","",C1,"","","","","","",HeatedWater,"","","",V3,"","","","","","","","","",C,C1,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::C2,"",15,62,62,C2,OTHER,"",Part C2                           Sanitary drainage systems	133,Part C2                           Sanitary drainage systems	133,Part C2                           Sanitary drainage systems	133,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part C2                           Sanitary drainage systems	133,Part C2                           Sanitary drainage systems	133,"","","","","","","",C2,"","","","","","",HeatedWater,"","","",V3,"","","","","","","","","",C,C2,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::C3,"",16,63,64,C3,OTHER,"",Part C3                          On-site wastewater management 	138,Part C3                          On-site wastewater management 	138  Section D         Excessive noise,Part C3                          On-site wastewater management 	138  Section D         Excessive noise,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part C3                          On-site wastewater management 	138,Part C3                          On-site wastewater management 	138  Section D         Excessive noise,"","","","","","","",C3,"","","","","","","","","","",V3,"","","","","","","","","",C,C3,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::D1,"",17,65,66,D1,OTHER,"",Part D1                           Excessive noise 	143,Part D1                           Excessive noise 	143  Section E         Facilities and ancillary additions,Part D1                           Excessive noise 	143  Section E         Facilities and ancillary additions,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part D1                           Excessive noise 	143,Part D1                           Excessive noise 	143  Section E         Facilities and ancillary additions,"","","","","","","",D1,"","","","","","",SanitaryPlumbing,"","","",V3,"","","","","","","","","",D,D1,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::E1,"",18,67,81,E1,DEFINITION,"",Part E1                            Facilities 	147,Part E1                            Facilities 	147  Schedule 1       Definitions  Abbreviations	150  Symbols	152  Glossary 	154  Schedule 2      Referenced documents  Referenced documents 	190  Schedule 3      Commonwealth of Australia  Footnote: Other legislation affecting buildings 	208  Schedule 4      Australian Capital Territory  ACT                                Introduction	214  ACT                                Footnote: Other legislation affecting water and plumbing systems 	215  Schedule 5      New South Wales  Section A                       Governing requirements	218  Section B                       Water services 	219,Part E1                            Facilities 	147  Schedule 1       Definitions  Abbreviations	150  Symbols	152  Glossary 	154  Schedule 2      Referenced documents  Referenced documents 	190  Schedule 3      Commonwealth of Australia  Footnote: Other legislation affecting buildings 	208  Schedule 4      Australian Capital Territory  ACT                                Introduction	214  ACT                                Footnote: Other legislation affecting water and plumbing systems 	215  Schedule 5      New South Wales  Section A                       Governing requirements	218  Section B                       Water services 	219,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part E1                            Facilities 	147,Part E1                            Facilities 	147  Schedule 1       Definitions  Abbreviations	150  Symbols	152  Glossary 	154  Schedule 2      Referenced documents  Referenced documents 	190  Schedule 3      Commonwealth of Australia  Footnote: Other legislation affecting buildings 	208  Schedule 4      Australian Capital Territory  ACT                                Introduction	214  ACT                                Footnote: Other legislation affecting water and plumbing systems 	215  Schedule 5      New South Wales  Section A                       Governing requirements	218  Section B                       Water services 	219,"","","","","","","",E1,"","","","","","",SanitaryDrainage,"","","",V3,"","","","","","","","","",E,E1,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B4,"",19,82,83,B4,OTHER,"",NSW Part B4                  Fire-fighting water services 	222,NSW Part B4                  Fire-fighting water services 	222  Section C                       Sanitary plumbing and drainage systems	223,NSW Part B4                  Fire-fighting water services 	222  Section C                       Sanitary plumbing and drainage systems	223,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",NSW Part B4                  Fire-fighting water services 	222,NSW Part B4                  Fire-fighting water services 	222  Section C                       Sanitary plumbing and drainage systems	223,"","","","","","","",B4,"","","","","","","","","","",V3,"","","","","","","","","",B,B4,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::C3,"",20,84,96,C3,DEFINITION,"",NSW Part C3                 On-site wastewater management	225,NSW Part C3                 On-site wastewater management	225  Schedule 1                     Definitions	226  Schedule 2                     Referenced documents	228  NSW                               Footnote: Other legislation affecting buildings 	230  Schedule 6      Northern Territory  NT                                   Introduction 	233  Section C                       Sanitary plumbing and drainage systems	234  Section D                        Excessive noise 	235  Schedule 2                     Referenced documents	236  NT                                   Footnote: Other legislation affecting buildings 	237  Schedule 7      Queensland  QLD                                 Introduction 	240  Section B                       Water services 	241,NSW Part C3                 On-site wastewater management	225  Schedule 1                     Definitions	226  Schedule 2                     Referenced documents	228  NSW                               Footnote: Other legislation affecting buildings 	230  Schedule 6      Northern Territory  NT                                   Introduction 	233  Section C                       Sanitary plumbing and drainage systems	234  Section D                        Excessive noise 	235  Schedule 2                     Referenced documents	236  NT                                   Footnote: Other legislation affecting buildings 	237  Schedule 7      Queensland  QLD                                 Introduction 	240  Section B                       Water services 	241,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",NSW Part C3                 On-site wastewater management	225,NSW Part C3                 On-site wastewater management	225  Schedule 1                     Definitions	226  Schedule 2                     Referenced documents	228  NSW                               Footnote: Other legislation affecting buildings 	230  Schedule 6      Northern Territory  NT                                   Introduction 	233  Section C                       Sanitary plumbing and drainage systems	234  Section D                        Excessive noise 	235  Schedule 2                     Referenced documents	236  NT                                   Footnote: Other legislation affecting buildings 	237  Schedule 7      Queensland  QLD                                 Introduction 	240  Section B                       Water services 	241,"","","","","","","",C3,"","","","","","","","","","",V3,"","","","","","","","","",C,C3,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B4,"",21,97,112,B4,DEFINITION,"",QLD Part B4                   Fire-fighting water services 	242,QLD Part B4                   Fire-fighting water services 	242  Schedule 1                     Definitions 	243  Schedule 2                     Referenced documents	244  Schedule 8      South Australia  SA                                   Introduction 	246  Section A                       Governing requirements 	247  Section B                       Water services	248  Section C                       Sanitary plumbing and drainage systems	252  Schedule 1                     Definitions 	254  Schedule 2                     Referenced documents	256  SA                                   Footnote: Other legislation affecting buildings 	257  Schedule 9      Tasmania  TAS                                 Introduction 	262  Section A                       Governing requirements 	263  Section B                       Water services	265  Section C                       Sanitary plumbing and drainage systems	270,QLD Part B4                   Fire-fighting water services 	242  Schedule 1                     Definitions 	243  Schedule 2                     Referenced documents	244  Schedule 8      South Australia  SA                                   Introduction 	246  Section A                       Governing requirements 	247  Section B                       Water services	248  Section C                       Sanitary plumbing and drainage systems	252  Schedule 1                     Definitions 	254  Schedule 2                     Referenced documents	256  SA                                   Footnote: Other legislation affecting buildings 	257  Schedule 9      Tasmania  TAS                                 Introduction 	262  Section A                       Governing requirements 	263  Section B                       Water services	265  Section C                       Sanitary plumbing and drainage systems	270,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",QLD Part B4                   Fire-fighting water services 	242,QLD Part B4                   Fire-fighting water services 	242  Schedule 1                     Definitions 	243  Schedule 2                     Referenced documents	244  Schedule 8      South Australia  SA                                   Introduction 	246  Section A                       Governing requirements 	247  Section B                       Water services	248  Section C                       Sanitary plumbing and drainage systems	252  Schedule 1                     Definitions 	254  Schedule 2                     Referenced documents	256  SA                                   Footnote: Other legislation affecting buildings 	257  Schedule 9      Tasmania  TAS                                 Introduction 	262  Section A                       Governing requirements 	263  Section B                       Water services	265  Section C                       Sanitary plumbing and drainage systems	270,"","","","","","","",B4,"","","","","","","","","","",V3,"","","","","","","","","",B,B4,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::C4,"",22,113,114,C4,OTHER,"",TAS Part C4                   On-site liquid trade waste systems	272,TAS Part C4                   On-site liquid trade waste systems	272  Section E                        Facilities and ancillary additions 	288,TAS Part C4                   On-site liquid trade waste systems	272  Section E                        Facilities and ancillary additions 	288,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",TAS Part C4                   On-site liquid trade waste systems	272,TAS Part C4                   On-site liquid trade waste systems	272  Section E                        Facilities and ancillary additions 	288,"","","","","","","",C4,"","","","","","","","","","",V3,"","","","","","","","","",C,C4,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::E2,"",23,115,115,E2,OTHER,"","TAS Part E2                    Heating, cooling and ventilation systems 	289","TAS Part E2                    Heating, cooling and ventilation systems 	289","TAS Part E2                    Heating, cooling and ventilation systems 	289","",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"","TAS Part E2                    Heating, cooling and ventilation systems 	289","TAS Part E2                    Heating, cooling and ventilation systems 	289","","","","","","","",E2,"","","","","","",SanitaryDrainage,"","","",V3,"","","","","","","","","",E,E2,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::E3,"",24,116,116,E3,OTHER,"",TAS Part E3                    Stormwater - Roof drainage systems 	291,TAS Part E3                    Stormwater - Roof drainage systems 	291,TAS Part E3                    Stormwater - Roof drainage systems 	291,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",TAS Part E3                    Stormwater - Roof drainage systems 	291,TAS Part E3                    Stormwater - Roof drainage systems 	291,"","","","","","","",E3,"","","","","","","","","","",V3,"","","","","","","","","",E,E3,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::E4,"",25,117,125,E4,DEFINITION,"",TAS Part E4                   Stormwater surface and sub-surface drainage systems 	294,TAS Part E4                   Stormwater surface and sub-surface drainage systems 	294  Schedule 1                     Definitions 	296  Schedule 2                     Referenced documents 	297  TAS                                 Footnote: Other legislation affecting buildings	301  Schedule 10    Victoria  VIC                                  Introduction 	305  Section A                       Governing requirements 	306  Section B                       Water services	307  Section C                       Sanitary plumbing and drainage systems 	315,TAS Part E4                   Stormwater surface and sub-surface drainage systems 	294  Schedule 1                     Definitions 	296  Schedule 2                     Referenced documents 	297  TAS                                 Footnote: Other legislation affecting buildings	301  Schedule 10    Victoria  VIC                                  Introduction 	305  Section A                       Governing requirements 	306  Section B                       Water services	307  Section C                       Sanitary plumbing and drainage systems 	315,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",TAS Part E4                   Stormwater surface and sub-surface drainage systems 	294,TAS Part E4                   Stormwater surface and sub-surface drainage systems 	294  Schedule 1                     Definitions 	296  Schedule 2                     Referenced documents 	297  TAS                                 Footnote: Other legislation affecting buildings	301  Schedule 10    Victoria  VIC                                  Introduction 	305  Section A                       Governing requirements 	306  Section B                       Water services	307  Section C                       Sanitary plumbing and drainage systems 	315,"","","","","","","",E4,"","","","","","","","","","",V3,"","","","","","","","","",E,E4,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::C4,"",26,126,128,C4,OTHER,"",VIC Part C4                    Low risk on-site liquid trade waste systems	318,VIC Part C4                    Low risk on-site liquid trade waste systems	318  Section D                        Excessive noise	320  Section E                        Facilities and ancillary additions	321,VIC Part C4                    Low risk on-site liquid trade waste systems	318  Section D                        Excessive noise	320  Section E                        Facilities and ancillary additions	321,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",VIC Part C4                    Low risk on-site liquid trade waste systems	318,VIC Part C4                    Low risk on-site liquid trade waste systems	318  Section D                        Excessive noise	320  Section E                        Facilities and ancillary additions	321,"","","","","","","",C4,"","","","","","","","","","",V3,"","","","","","","","","",C,C4,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::E2,"",27,129,129,E2,OTHER,"","VIC Part E2                    Heating, ventilation and air conditioning systems 	322","VIC Part E2                    Heating, ventilation and air conditioning systems 	322","VIC Part E2                    Heating, ventilation and air conditioning systems 	322","",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"","VIC Part E2                    Heating, ventilation and air conditioning systems 	322","VIC Part E2                    Heating, ventilation and air conditioning systems 	322","","","","","","","",E2,"","","","","","",SanitaryDrainage,"","","",V3,"","","","","","","","","",E,E2,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::E3,"",28,130,130,E3,OTHER,"",VIC Part E3                    Stormwater - Roof drainage systems 	325,VIC Part E3                    Stormwater - Roof drainage systems 	325,VIC Part E3                    Stormwater - Roof drainage systems 	325,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",VIC Part E3                    Stormwater - Roof drainage systems 	325,VIC Part E3                    Stormwater - Roof drainage systems 	325,"","","","","","","",E3,"","","","","","","","","","",V3,"","","","","","","","","",E,E3,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::E4,"",29,131,164,E4,PERFORMANCE_REQUIREMENT,"",VIC Part E4                    Stormwater - Surface and sub-surface drainage systems	327,"VIC Part E4                    Stormwater - Surface and sub-surface drainage systems	327  Schedule 1                     Definitions 	329  Schedule 2                     Referenced documents 	331  VIC                                  Footnote: Other legislation affecting buildings 	337  Schedule 11     Western Australia  WA                                  Introduction 	339  Schedule 1                     Definitions 	340  Schedule 2                     Referenced documents 	341  WA                                  Footnote: Other legislation affecting buildings 	342  Introduction to the National Construction Code(NCC)  About the NCC  The NCC is Australia’s primary set of technical design and construction provisions for buildings.As a performance-based code, it sets the minimum required level for the safety, health, amenity, accessibility and sustainability of certain buildings.It primarily applies to the design and construction of new buildings, and plumbing and drainage systems in new and existing buildings.In some cases it may also apply to structures associated with buildings and new building work or new plumbing and drainage work in existing buildings.  The Australian Building Codes Board(ABCB), on behalf of the Australian Government and each State and Territory government, produces and maintains the NCC.When determining the content of the NCC, the ABCB seeks to—  • ensure requirements have a rigorously tested rationale; and  • effectively and proportionally address applicable issues; and  • create benefits to society that outweigh costs; and  • consider non-regulatory alternatives; and  • consider the competitive effects of regulation; and  • not be unnecessarily restrictive.  The primary users of the NCC include architects, builders, plumbers, building surveyors, hydraulic consultants, engineers and other building and plumbing related professions and trades.  Format of the NCC  The NCC is published in three volumes.The Building Code of Australia(BCA) is Volumes One and Two of the NCC and the Plumbing Code of Australia(PCA) is Volume Three of the NCC.  Components of the NCC  The NCC provides the technical provisions for the design and construction of buildings and other structures, and plumbing and drainage systems.  NCC Volume One primarily covers the design and construction of multi-residential, commercial, industrial and public assembly buildings and some associated structures.  NCC Volume Two primarily covers the design and construction of smaller scale buildings including houses, small sheds, carports and some associated structures.  NCC Volume Three covers the design, construction and maintenance of plumbing and drainage systems in new and existing buildings.  Each volume contains—  • Governing Requirements; and  • Performance Requirements; and  • compliance options to meet the NCC requirements; and  • State and Territory variations and additions.","VIC Part E4                    Stormwater - Surface and sub-surface drainage systems	327  Schedule 1                     Definitions 	329  Schedule 2                     Referenced documents 	331  VIC                                  Footnote: Other legislation affecting buildings 	337  Schedule 11     Western Australia  WA                                  Introduction 	339  Schedule 1                     Definitions 	340  Schedule 2                     Referenced documents 	341  WA                                  Footnote: Other legislation affecting buildings 	342  Introduction to the National Construction Code(NCC)  About the NCC  The NCC is Australia’s primary set of technical design and construction provisions for buildings.As a performance-based code, it sets the minimum required level for the safety, health, amenity, accessibility and sustainability of certain buildings.It primarily applies to the design and construction of new buildings, and plumbing and drainage systems in new and existing buildings.In some cases it may also apply to structures associated with buildings and new building work or new plumbing and drainage work in existing buildings.  The Australian Building Codes Board(ABCB), on behalf of the Australian Government and each State and Territory government, produces and maintains the NCC.When determining the content of the NCC, the ABCB seeks to—  • ensure requirements have a rigorously tested rationale; and  • effectively and proportionally address applicable issues; and  • create benefits to society that outweigh costs; and  • consider non-regulatory alternatives; and  • consider the competitive effects of regulation; and  • not be unnecessarily restrictive.  The primary users of the NCC include architects, builders, plumbers, building surveyors, hydraulic consultants, engineers and other building and plumbing related professions and trades.  Format of the NCC  The NCC is published in three volumes.The Building Code of Australia(BCA) is Volumes One and Two of the NCC and the Plumbing Code of Australia(PCA) is Volume Three of the NCC.  Components of the NCC  The NCC provides the technical provisions for the design and construction of buildings and other structures, and plumbing and drainage systems.  NCC Volume One primarily covers the design and construction of multi-residential, commercial, industrial and public assembly buildings and some associated structures.  NCC Volume Two primarily covers the design and construction of smaller scale buildings including houses, small sheds, carports and some associated structures.  NCC Volume Three covers the design, construction and maintenance of plumbing and drainage systems in new and existing buildings.  Each volume contains—  • Governing Requirements; and  • Performance Requirements; and  • compliance options to meet the NCC requirements; and  • State and Territory variations and additions.","",false,false,"","","","","","","","","","","","","",PERFORMANCE,NORMATIVE,ALWAYS,"",VIC Part E4                    Stormwater - Surface and sub-surface drainage systems	327,"VIC Part E4                    Stormwater - Surface and sub-surface drainage systems	327  Schedule 1                     Definitions 	329  Schedule 2                     Referenced documents 	331  VIC                                  Footnote: Other legislation affecting buildings 	337  Schedule 11     Western Australia  WA                                  Introduction 	339  Schedule 1                     Definitions 	340  Schedule 2                     Referenced documents 	341  WA                                  Footnote: Other legislation affecting buildings 	342  Introduction to the National Construction Code(NCC)  About the NCC  The NCC is Australia’s primary set of technical design and construction provisions for buildings.As a performance-based code, it sets the minimum required level for the safety, health, amenity, accessibility and sustainability of certain buildings.It primarily applies to the design and construction of new buildings, and plumbing and drainage systems in new and existing buildings.In some cases it may also apply to structures associated with buildings and new building work or new plumbing and drainage work in existing buildings.  The Australian Building Codes Board(ABCB), on behalf of the Australian Government and each State and Territory government, produces and maintains the NCC.When determining the content of the NCC, the ABCB seeks to—  • ensure requirements have a rigorously tested rationale; and  • effectively and proportionally address applicable issues; and  • create benefits to society that outweigh costs; and  • consider non-regulatory alternatives; and  • consider the competitive effects of regulation; and  • not be unnecessarily restrictive.  The primary users of the NCC include architects, builders, plumbers, building surveyors, hydraulic consultants, engineers and other building and plumbing related professions and trades.  Format of the NCC  The NCC is published in three volumes.The Building Code of Australia(BCA) is Volumes One and Two of the NCC and the Plumbing Code of Australia(PCA) is Volume Three of the NCC.  Components of the NCC  The NCC provides the technical provisions for the design and construction of buildings and other structures, and plumbing and drainage systems.  NCC Volume One primarily covers the design and construction of multi-residential, commercial, industrial and public assembly buildings and some associated structures.  NCC Volume Two primarily covers the design and construction of smaller scale buildings including houses, small sheds, carports and some associated structures.  NCC Volume Three covers the design, construction and maintenance of plumbing and drainage systems in new and existing buildings.  Each volume contains—  • Governing Requirements; and  • Performance Requirements; and  • compliance options to meet the NCC requirements; and  • State and Territory variations and additions.","","","","","","","",E4,"","","","","","","","","","",V3,"","","","","","","","","",E,E4,true
